ScoreAfter10Overs,WicketsLost,RunRate,Last5OversRuns,Venue,PitchType,BattingTeam,DewPresent,FinalScore
59,0,5.9,37,Mumbai,Green,MI,0,161
56,4,5.6,47,Chennai,Flat,CSK,0,151
109,4,10.9,21,Kolkata,Green,DC,1,147
102,4,10.2,37,Chennai,Green,DC,1,161
80,1,8.0,33,Bangalore,Flat,CSK,1,185
90,6,9.0,42,Kolkata,Turning,CSK,1,149
60,3,6.0,25,Kolkata,Turning,DC,1,115
69,5,6.9,24,Chennai,Green,RCB,0,128
74,6,7.4,26,Delhi,Turning,KKR,1,105
92,2,9.2,33,Bangalore,Flat,SRH,0,198
76,1,7.6,49,Delhi,Turning,DC,0,174
86,6,8.6,23,Mumbai,Flat,RCB,1,160
53,1,5.3,56,Bangalore,Green,DC,1,166
103,1,10.3,36,Mumbai,Green,DC,1,198
99,4,9.9,45,Bangalore,Green,MI,1,176
51,6,5.1,27,Mumbai,Green,DC,1,101
53,3,5.3,44,Kolkata,Slow,SRH,1,141
46,5,4.6,27,Kolkata,Turning,DC,1,77
82,3,8.2,30,Delhi,Flat,DC,1,178
67,4,6.7,26,Bangalore,Green,MI,1,141
65,4,6.5,53,Chennai,Turning,KKR,0,132
91,6,9.1,39,Mumbai,Flat,MI,0,170
107,6,10.7,24,Kolkata,Green,MI,1,166
66,2,6.6,53,Kolkata,Slow,MI,0,179
84,3,8.4,62,Bangalore,Slow,SRH,1,188
76,1,7.6,24,Bangalore,Flat,SRH,0,177
73,0,7.3,24,Chennai,Green,CSK,0,152
87,0,8.7,52,Mumbai,Turning,DC,1,187
61,5,6.1,56,Kolkata,Slow,MI,1,168
97,1,9.7,26,Chennai,Slow,RCB,1,179
104,6,10.4,23,Chennai,Flat,KKR,1,182
58,1,5.8,32,Mumbai,Slow,MI,1,141
80,3,8.0,35,Chennai,Slow,SRH,0,133
46,0,4.6,35,Mumbai,Slow,KKR,1,138
96,0,9.6,30,Delhi,Flat,KKR,1,227
103,2,10.3,47,Kolkata,Slow,MI,0,195
72,0,7.2,57,Kolkata,Flat,DC,1,205
51,4,5.1,50,Kolkata,Green,CSK,0,143
68,0,6.8,58,Chennai,Green,KKR,0,198
76,4,7.6,58,Chennai,Flat,KKR,1,216
78,1,7.8,62,Bangalore,Green,RCB,1,202
83,3,8.3,40,Chennai,Flat,KKR,0,173
72,4,7.2,36,Mumbai,Turning,CSK,0,128
81,1,8.1,48,Kolkata,Turning,SRH,0,175
83,5,8.3,26,Mumbai,Turning,CSK,0,132
64,2,6.4,38,Kolkata,Green,DC,1,135
78,4,7.8,51,Bangalore,Flat,CSK,1,211
80,0,8.0,20,Bangalore,Green,DC,1,145
101,4,10.1,65,Delhi,Flat,CSK,0,246
64,4,6.4,22,Bangalore,Green,KKR,0,103
84,2,8.4,22,Bangalore,Green,DC,0,151
58,2,5.8,55,Delhi,Green,MI,0,172
67,3,6.7,21,Mumbai,Turning,KKR,0,110
65,6,6.5,64,Chennai,Slow,CSK,1,150
70,6,7.0,49,Bangalore,Turning,MI,0,128
69,3,6.9,41,Bangalore,Flat,RCB,1,199
110,3,11.0,63,Kolkata,Turning,CSK,0,221
78,1,7.8,57,Bangalore,Flat,CSK,1,222
85,3,8.5,58,Kolkata,Flat,KKR,0,207
50,5,5.0,47,Chennai,Green,RCB,1,119
87,4,8.7,40,Chennai,Turning,SRH,1,155
97,2,9.7,45,Bangalore,Green,MI,1,204
93,5,9.3,31,Kolkata,Turning,KKR,0,134
81,1,8.1,47,Kolkata,Turning,KKR,1,177
72,4,7.2,50,Mumbai,Flat,RCB,1,188
75,5,7.5,39,Mumbai,Green,MI,0,129
76,3,7.6,59,Chennai,Slow,KKR,0,186
94,3,9.4,45,Mumbai,Green,DC,0,189
58,6,5.8,47,Mumbai,Green,DC,1,116
76,6,7.6,27,Delhi,Green,KKR,1,138
